iter	Logloss
0	0.681058523
1	0.6702934553
2	0.6597081858
3	0.6505132274
4	0.6421010778
5	0.6340632048
6	0.6260432796
7	0.6189573054
8	0.6122951398
9	0.6059874762
10	0.6004573825
11	0.59534571
12	0.5911842453
13	0.5867922534
14	0.5826486418
15	0.5798832459
16	0.5762007189
17	0.5727945555
18	0.5702926664
19	0.567313221
20	0.5645519986
21	0.562172476
22	0.5603803926
23	0.5580979597
24	0.5560498761
25	0.554025191
26	0.5527516852
27	0.5509653642
28	0.5497492836
29	0.5486876818
30	0.547130476
31	0.5459122317
32	0.5443765581
33	0.5435740523
34	0.5427351238
35	0.5415191201
36	0.5405994491
37	0.5395985662
38	0.5385707079
39	0.5379836339
40	0.5366114373
41	0.5360410777
42	0.5352393024
43	0.5341568732
44	0.5337186403
45	0.5332084994
46	0.532356142
47	0.5314826002
48	0.5310052251
49	0.5305414613
50	0.5304507302
51	0.5302949081
52	0.5299246529
53	0.5293628093
54	0.5289753329
55	0.5285224392
56	0.5280054938
57	0.5275956028
58	0.5272850835
59	0.5267377923
60	0.5262830056
61	0.5256835341
62	0.5249180138
63	0.5244640832
64	0.5239484933
65	0.5235274802
66	0.523128018
67	0.5230882585
68	0.5226752412
69	0.5220478371
70	0.5217067591
71	0.5213832629
72	0.5210624899
73	0.5205129128
74	0.5203370208
75	0.5200624758
76	0.5197216327
77	0.5194890736
78	0.5192743482
79	0.5189915619
80	0.5187346245
81	0.5185226843
82	0.5181729622
83	0.5178924848
84	0.5177856244
85	0.5176272097
86	0.5174988734
87	0.5173109588
88	0.5171499876
89	0.5170517577
90	0.5168981828
91	0.5165774317
92	0.5165529944
93	0.5164348713
94	0.5163027521
95	0.5162035154
96	0.5160459218
97	0.5158940284
98	0.5156397866
99	0.5155040653
100	0.515358423
101	0.5152186906
102	0.5150858795
103	0.5149781753
104	0.5148392068
105	0.5147094389
106	0.5145878794
107	0.5144558755
108	0.5143465973
109	0.5141975052
110	0.5139366918
111	0.513751971
112	0.5136056687
113	0.5134896051
114	0.5133405642
115	0.5132692516
116	0.51312121
117	0.5129414988
118	0.5127267011
119	0.5126018182
120	0.5124609444
121	0.5123372425
122	0.5121479726
123	0.5116897184
124	0.511303384
125	0.5111150349
126	0.5110228161
127	0.5108984182
128	0.5108266762
129	0.5107014595
130	0.5106152675
131	0.5105649683
132	0.5104827675
133	0.5104086069
134	0.5102864852
135	0.5102412076
136	0.5099823148
137	0.5098563678
138	0.5097623298
139	0.5096786964
140	0.5094911003
141	0.5093670905
142	0.5091932562
143	0.5091078804
144	0.5089816203
145	0.5087283579
146	0.5086150494
147	0.5085333171
148	0.5083940369
149	0.5083021521
150	0.5081448474
151	0.5080726984
152	0.5080673713
153	0.5079399072
154	0.5078567719
155	0.5077877117
156	0.5075987892
157	0.5075124249
158	0.5073759656
159	0.5070702581
160	0.5069520668
161	0.5068508035
162	0.5067721676
